20240613 091800,5501.75,5501.75,5501,5501,60
20240613 091900,5501,5501.25,5500.75,5500.75,68
20240613 092000,5500.75,5501.5,5500.75,5501.5,74
20240613 092100,5501.5,5501.5,5501.25,5501.25,29
20240613 092200,5501.25,5501.5,5501.25,5501.5,9
20240613 092300,5501.5,5501.75,5501.5,5501.5,44
20240613 092400,5501.5,5501.5,5500.5,5500.75,52
20240613 092500,5500.75,5501,5500.75,5500.75,13
20240613 092600,5500.5,5500.5,5499.5,5499.75,106
20240613 092700,5499.75,5500,5499.5,5500,19
20240613 092800,5500,5500,5499.25,5499.5,56
20240613 092900,5499.5,5499.5,5499,5499,54
20240613 093000,5499,5499,5498.25,5498.25,67
20240613 093100,5498,5498.5,5498,5498.25,58
20240613 093200,5498,5498.5,5497.5,5498,136
20240613 093300,5498,5499,5497.75,5499,118
20240613 093400,5498.75,5498.75,5498.25,5498.5,40
20240613 093500,5498.5,5498.75,5498.25,5498.25,36
20240613 093600,5498,5498,5497.5,5497.75,89
20240613 093700,5497.75,5497.75,5497,5497.25,144
20240613 093800,5497.25,5497.5,5497,5497.25,42
20240613 093900,5497,5497.25,5496.5,5496.5,132
20240613 094000,5496.5,5497,5496.5,5496.5,77
20240613 094100,5496.5,5496.5,5495,5495.5,125
20240613 094200,5495.5,5496,5495,5495.75,92
20240613 094300,5495.5,5495.5,5494.5,5495,159
20240613 094400,5495,5495.25,5494.5,5494.5,72
20240613 094500,5494.5,5494.5,5494,5494.5,54
20240613 094600,5494.5,5494.75,5494.25,5494.5,41
20240613 094700,5494.5,5495,5494.5,5495,49
20240613 094800,5495.25,5495.75,5495.25,5495.5,118
20240613 094900,5495.75,5495.75,5494,5494,99
20240613 095000,5494,5494.25,5494,5494,97
20240613 095100,5494,5494.5,5494,5494.25,75
20240613 095200,5494,5494.5,5493.5,5494.5,85
20240613 095300,5494.5,5495,5494.25,5494.75,97
20240613 095400,5494.5,5494.5,5494,5494.25,84
20240613 095500,5494.25,5494.5,5494,5494,42
20240613 095600,5494,5494.25,5493.75,5493.75,91
20240613 095700,5493.75,5493.75,5493.25,5493.5,82
20240613 095800,5493.75,5494,5493.5,5494,76
20240613 095900,5494.25,5494.75,5494.25,5494.25,45
20240613 100000,5494.25,5494.5,5493.75,5494.25,19
20240613 100100,5494.5,5495.75,5494.25,5495.5,90
20240613 100200,5495.5,5496.25,5495,5495.5,61
20240613 100300,5495.25,5495.5,5495.25,5495.5,23
20240613 100400,5495.75,5496,5495.75,5496,58
20240613 100500,5496,5496.75,5496,5496.75,56
20240613 100600,5496.75,5497,5496.75,5497,72
20240613 100700,5496.75,5496.75,5496,5496.5,121
20240613 100800,5496.5,5496.75,5496.5,5496.5,55
20240613 100900,5496.5,5497,5496.5,5496.5,69
20240613 101000,5496.5,5496.5,5496,5496,78
20240613 101100,5496,5496.25,5495.75,5495.75,74
20240613 101200,5495.5,5496,5495,5496,131
20240613 101300,5495.75,5496,5495.5,5496,36
20240613 101400,5496,5496,5495.5,5495.5,53
20240613 101500,5495.5,5495.5,5495,5495.25,81
